City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,labasa,-16.4167,179.3833,298.92,67,85,0.94,FJ,1726517511
280,fort bragg,35.139,-79.006,293.61,95,100,12.35,US,1726517512
281,malvan,16.0667,73.4667,299.48,80,62,4.08,IN,1726517513
282,cururupu,-1.8283,-44.8683,301.96,56,30,2.61,BR,1726517514
283,wanning,18.8003,110.3967,298.66,90,100,1.96,CN,1726517515
284,belyy yar,53.6039,91.3903,276.09,87,0,1.0,RU,1726517516
285,kargasok,59.0556,80.8572,276.4,72,66,2.62,RU,1726517517
286,tongshan,34.1805,117.1571,297.23,91,98,6.86,CN,1726517518
287,alofi,-19.0595,-169.9187,298.09,83,75,1.03,NU,1726517384
288,mossel bay,-34.1831,22.146,288.11,71,0,3.14,ZA,1726517521
289,mount gambier,-37.8333,140.7667,282.07,67,97,2.31,AU,1726517522
290,vorkuta,67.5,64.0,286.01,93,98,3.29,RU,1726517523
291,portland,45.5234,-122.6762,296.34,61,40,2.06,US,1726517475
292,villanueva,15.3167,-88.0,309.03,46,32,2.94,HN,1726517525
293,tabarka,36.9544,8.758,295.51,68,40,4.63,TN,1726517526
294,kem',64.9555,34.5793,283.1,66,15,3.06,RU,1726517527
295,ajasse ipo,8.2333,4.8167,296.18,94,84,2.16,NG,1726517528
296,ribeira grande,38.5167,-28.7,297.37,78,40,6.69,PT,1726517461
297,alotau,-10.3069,150.4462,296.85,98,100,2.04,PG,1726517530
298,tralee,52.2704,-9.7026,289.68,81,100,0.49,IE,1726517531
299,padangsidempuan,1.3667,99.2667,294.64,98,100,1.47,ID,1726517532
300,dudinka,69.4058,86.1778,276.02,92,19,2.87,RU,1726517534
301,selfoss,63.9331,-20.9971,283.17,97,100,8.87,IS,1726517535
302,rongelap,11.1635,166.8941,301.45,75,10,3.68,MH,1726517536
303,santa cruz,-17.8,-63.1667,302.85,35,20,5.66,BO,1726517537
304,kingston,17.997,-76.7936,306.02,66,100,3.34,JM,1726517538
305,balikpapan,-1.2675,116.8289,298.7,83,40,4.12,ID,1726517539
306,akureyri,65.6835,-18.0878,282.11,61,40,4.63,IS,1726517540
307,port alfred,-33.5906,26.891,288.25,87,52,1.25,ZA,1726517541
308,kirensk,57.7853,108.1119,275.03,98,97,1.27,RU,1726517542
309,scarborough,54.2797,-0.4044,284.63,89,88,1.65,GB,1726517539
310,cockburn town,21.4612,-71.1419,302.6,78,50,6.47,TC,1726517546
311,ephrata,40.1798,-76.1788,298.47,58,40,3.09,US,1726517547
312,kailua-kona,19.6406,-155.9956,303.86,77,75,4.63,US,1726517548
313,talcahuano,-36.7167,-73.1167,288.97,59,0,5.14,CL,1726517550
314,taulaga,-11.0553,-171.0883,301.17,70,55,4.91,AS,1726517551
315,kuopio,62.8924,27.677,285.12,93,0,1.03,FI,1726517552
316,velingara,13.15,-14.1167,297.31,96,87,2.32,SN,1726517553
317,santa ana de yacuma,-13.75,-65.4333,310.35,20,6,2.26,BO,1726517554
318,reynosa,26.0833,-98.2833,305.91,79,100,2.06,MX,1726517555
319,acarau,-2.8856,-40.12,300.11,66,0,8.63,BR,1726517557
320,korhogo,9.45,-5.6333,296.35,91,88,0.94,CI,1726517558
321,soba,10.9813,8.0575,295.84,85,94,1.3,NG,1726517559
322,thunder bay,48.4001,-89.3168,300.14,65,75,3.6,CA,1726517560
323,calingasta,-31.3308,-69.4078,294.37,19,59,0.7,AR,1726517562
324,zapala,-38.8992,-70.0544,289.12,21,100,6.24,AR,1726517563
325,pandan,14.0453,124.1694,298.87,92,100,4.16,PH,1726517564
326,novoishimskiy,53.1981,66.7694,279.49,65,2,2.98,KZ,1726517565
327,eyl,7.9803,49.8164,299.17,79,24,9.93,SO,1726517566
328,karratha,-20.7377,116.8463,295.72,30,0,5.68,AU,1726517568
329,fortuna,40.5982,-124.1573,292.55,72,20,5.66,US,1726517569
330,karatuzskoye,53.6072,92.8667,272.21,93,13,1.54,RU,1726517570
331,champoton,19.35,-90.7167,307.25,51,87,4.99,MX,1726517571
332,morondava,-20.2833,44.2833,297.55,87,0,4.01,MG,1726517572
333,belmonte,-15.8631,-38.8828,297.66,76,0,4.71,BR,1726517573
334,kapuskasing,49.4169,-82.4331,303.2,51,75,8.75,CA,1726517574
335,zaozersk,69.4005,32.4476,281.51,88,95,3.81,RU,1726517575
336,yinchuan,38.4681,106.2731,289.95,87,96,2.65,CN,1726517395
337,novyy urgal,51.0736,132.5642,281.74,83,55,2.53,RU,1726517577
338,san luis,-33.295,-66.3356,297.96,14,83,8.69,AR,1726517578
339,pundong,-7.9522,110.3486,295.69,86,17,0.51,ID,1726517580
340,carnot,4.9409,15.8665,295.37,88,100,1.05,CF,1726517581
341,fisterra,42.9049,-9.2629,293.18,57,83,7.63,ES,1726517582
342,mairang,25.5667,91.6333,290.25,93,61,0.54,IN,1726517583
343,crucecita,-28.95,-58.9833,298.52,24,0,4.92,AR,1726517584
344,burutu,5.3509,5.5076,298.91,88,68,3.6,NG,1726517585
345,vallenar,-28.5708,-70.7581,292.92,34,0,5.81,CL,1726517586
346,ocean shores,46.9737,-124.1563,292.57,81,0,2.06,US,1726517587
347,mitu,1.1983,-70.1733,305.5,54,99,0.94,CO,1726517588
348,zhob,31.3411,69.4481,299.56,23,10,1.57,PK,1726517589
349,sarpsborg,59.2839,11.1096,285.11,89,3,1.14,NO,1726517590
350,ghat,24.9647,10.1728,308.61,20,100,2.73,LY,1726517593
351,anloga,5.7947,0.8973,298.59,84,11,5.69,GH,1726517594
352,souillac,-20.5167,57.5167,295.36,68,75,6.69,MU,1726517595
353,toliara,-23.35,43.6667,295.8,77,39,2.27,MG,1726517596
354,mandapam,9.2833,79.1167,302.26,77,50,7.42,IN,1726517597
355,prince albert,53.2001,-105.7677,295.12,40,40,1.54,CA,1726517598
356,scalea,39.813,15.7956,292.66,73,84,3.34,IT,1726517599
357,el bordo,2.117,-76.9821,308.58,23,49,4.11,CO,1726517600
358,argo,37.6333,22.7333,294.26,62,1,0.77,GR,1726517601
359,chibougamau,49.9168,-74.3659,300.94,47,40,6.69,CA,1726517603
360,ilhabela,-23.7781,-45.3581,292.71,93,100,1.97,BR,1726517604
361,katabu,-4.9333,122.5167,294.56,91,83,1.0,ID,1726517605
362,sosnogorsk,63.6023,53.8817,289.14,87,100,2.2,RU,1726517606
363,malango,-2.9627,119.9001,291.74,97,91,0.73,ID,1726517607
364,tokar,18.4254,37.729,305.67,58,13,1.36,SD,1726517609
365,rivera,-30.9053,-55.5508,292.51,61,0,2.82,UY,1726517610
366,abra pampa,-22.7205,-65.697,292.19,4,1,4.71,AR,1726517611
367,mar del plata,-38.0023,-57.5575,288.12,62,0,1.79,AR,1726517535
368,sanctuary point,-35.1114,150.629,279.77,85,14,2.28,AU,1726517613
369,walvis bay,-22.9575,14.5053,285.39,93,36,6.14,NA,1726517614
370,persembe,41.0656,37.7714,295.83,85,30,3.49,TR,1726517615
371,tuzha,57.6062,47.936,287.58,67,60,2.16,RU,1726517617
372,fort mcmurray,56.7268,-111.381,292.92,45,100,6.69,CA,1726517618
373,abeche,13.8292,20.8324,299.24,67,35,1.92,TD,1726517619
374,omu-aran,8.1333,5.1,295.22,94,87,1.93,NG,1726517620
375,nizhneangarsk,55.7833,109.55,275.3,69,28,2.25,RU,1726517621
376,nuku'alofa,-21.1333,-175.2,297.34,94,75,2.57,TO,1726517126
377,sao francisco,-15.9486,-44.8644,308.3,19,4,0.31,BR,1726517623
378,kalmunai,7.4167,81.8167,300.83,71,100,1.6,LK,1726517624
379,crane,31.3974,-102.3501,304.55,39,3,7.42,US,1726517326
380,lerwick,60.1545,-1.1494,284.82,83,100,5.58,GB,1726517626
381,untergriesbach,48.5743,13.6673,286.3,98,100,1.21,DE,1726517627
382,acajutla,13.5928,-89.8275,303.05,74,91,1.59,SV,1726517473
383,castillos,-34.1667,-53.8333,292.29,60,0,2.56,UY,1726517630
384,qamdo,31.1667,97.2333,279.58,87,100,1.32,CN,1726517632
385,ichinohe,40.2069,141.3017,288.07,98,35,2.55,JP,1726517633
386,tolanaro,-25.0319,46.9987,294.19,83,0,2.06,MG,1726517620
387,northam,51.0333,-4.2167,286.27,87,14,3.39,GB,1726517595
388,al marj,32.488,20.8317,293.6,68,0,1.93,LY,1726517636
389,north platte,41.1239,-100.7654,302.09,48,0,8.23,US,1726517637
390,illizi,26.4833,8.4667,308.38,21,57,5.38,DZ,1726517638
391,nikolayevsk-on-amure,53.1406,140.73,284.11,78,100,1.9,RU,1726517639
392,ola,59.5833,151.2833,276.85,94,100,3.25,RU,1726517640
393,gadzhiyevo,69.2551,33.3362,282.37,86,95,3.77,RU,1726517548
394,verdal,63.7933,11.4817,285.34,88,86,1.28,NO,1726517643
395,saint-francois,46.4154,3.9054,287.84,79,0,3.6,FR,1726517644
396,kununurra,-15.7667,128.7333,294.14,78,100,8.23,AU,1726517645
397,tanjung pandan,-2.75,107.65,298.94,84,99,2.39,ID,1726517646
398,xai-xai,-25.0519,33.6442,296.28,93,44,4.22,MZ,1726517647
399,areia branca,-4.9561,-37.1369,300.05,70,0,9.9,BR,1726517648
400,khorugh,37.4897,71.553,284.89,40,100,3.03,TJ,1726517649
401,opuwo,-18.0607,13.84,293.64,15,3,2.5,NA,1726517650
402,inhambane,-23.865,35.3833,297.06,93,0,5.23,MZ,1726517654
403,lorengau,-2.0226,147.2712,300.78,81,28,4.58,PG,1726517655
404,porto seguro,-16.4497,-39.0647,299.44,73,75,3.6,BR,1726517656
405,taroa,8.7058,171.2275,301.14,78,13,4.38,MH,1726517657
406,zemio,5.0314,25.1361,295.21,92,100,1.01,CF,1726517658
407,qaqortoq,60.7167,-46.0333,277.96,81,100,1.64,GL,1726517660
408,hadibu,12.65,54.0333,298.79,77,8,6.32,YE,1726517087
409,bouar,5.934,15.596,292.1,93,96,0.97,CF,1726517662
410,moree,-29.4667,149.85,279.48,50,0,1.04,AU,1726517663
411,minas de marcona,-15.2119,-75.1103,292.13,50,3,4.42,PE,1726517664
412,queenstown,-31.8976,26.8753,284.68,80,96,3.77,ZA,1726517666
413,beledweyne,4.7358,45.2036,300.06,66,99,9.54,SO,1726517667
414,bikenibeu village,1.3673,173.1241,302.13,74,20,2.57,KI,1726517668
415,san pedro pochutla,15.7333,-96.4667,307.43,59,78,3.72,MX,1726517669
